x,y,ux,uy
29.65625,10,0.032337543,0.000310786
30.6231058,13.1388364,0.033089173,-0.00036727
30.5910784,12.129881,0.032799366,0.000317713
26.5,1.25,0.031537473,0.002036814
28.75,6.25,0.032932986,0.000670247
30.5699873,11.0878255,0.032307301,0.000215463
31.9080898,17.3106602,0.035510915,-0.001173208
32.049257,18.253561,0.035979716,-0.001091287
31.7394915,15.4784562,0.034991859,-0.000524774
29.6739679,7.66213191,0.032504332,0.00048547
27.625,2.5,0.032438917,0.001194988
28.75,5,0.032640479,0.000833334
32.4020561,19.1413907,0.036860938,-0.000742264
30.5625,10,0.032604317,-0.000173722
26.5,0,0.034522471,0.002072238
31.5986488,13.6968781,0.033907217,-0.000456473
30.5699582,8.91199623,0.032713915,0.00020264
31.5034244,11.8925046,0.033007613,0.000324168
28.75,3.75,0.032994379,0.00075558
32.96875,20,0.038450463,-0.002029441
30.5909839,7.86954062,0.032658873,0.000251535
29.7161463,5.43562793,0.032993545,0.000923223
33.187909,18.3036478,0.036786143,-0.001548508
31.46875,10,0.033051523,0.000442573
32.8298879,15.6448932,0.035481731,-0.00075393
32.9607864,16.4142136,0.035659993,-0.001192739
32.7120608,14.8611405,0.035213466,-0.000105802
28.75,2.5,0.032604783,0.0017664
32.6113811,14.0682117,0.034449394,-0.000196169
30.6229461,6.86018614,0.033118442,0.000777889
27.625,0,0.032875717,-0.000357328
32.5272409,13.2653669,0.034091292,0.000223437
32.4609817,12.4551155,0.033269053,5.09167E-05
32.4134294,11.6401806,0.033306304,-6.60092E-05
30.663576,5.86956759,0.033081227,0.000984981
31.5033653,8.10713386,0.033063953,0.000366159
28.75,1.25,0.033199629,0.001365657
32.3844907,10.8196091,0.032922117,0.000152122
29.7655354,3.21843692,0.033905594,0.001171852
33.9379598,17.4798158,0.036540255,-0.001932076
33.8092163,16.5459207,0.036713937,-0.001808205
32.375,10,0.032950883,0.000519659
30.7101484,4.88343591,0.033900567,0.000885489
34.375,20,0.03943929,-0.002302467
34.2948717,18.3541568,0.037446167,-0.002131936
32.3844907,9.18039088,0.033129568,0.000206827
33.6846301,14.2438248,0.034909516,-0.000978461
28.75,0,0.028647591,0.001632614
33.4558331,12.8338556,0.033913216,-0.0007116
34.0134831,15.517767,0.036142746,-0.000951181
31.5985279,6.30238174,0.033242634,0.000587925
30.7596249,3.88654066,0.034047699,0.001148549
32.4134294,8.35981935,0.033282664,0.000158481
33.3234345,11.3878567,0.0334612,0.0001594
34.8794031,19.1912204,0.038362482,-0.002385534
32.4609817,7.5448845,0.033282234,0.000652559
34.6701095,16.6629392,0.036581697,-0.001817298
29.8026966,0.896446608,0.034510124,0.001817544
33.28125,10,0.033120823,0.000304708
30.8094774,2.86201288,0.034381967,0.000816351
32.5272409,6.73463313,0.033538172,0.000521474
31.7394172,4.52108896,0.034156439,0.001380372
35.3901321,18.4002003,0.037988543,-0.002662871
33.3234935,8.61250485,0.032952227,0.000445017
34.5124352,13.0209523,0.034582641,-0.000936983
34.3907125,12.4014855,0.034429705,-0.000695181
34.6643777,13.6095494,0.034814121,-0.000368744
34.2988576,11.7713946,0.033626731,-0.000318039
30.8553932,1.79289322,0.034648215,0.001389729
34.8502573,14.1520512,0.035110566,-0.000935978
32.6113811,5.93178829,0.03409546,0.000791642
34.2357805,11.1504803,0.033218679,-0.00022461
35.78125,20,0.039247383,-0.003562093
35.0661797,14.6213204,0.035495487,-0.001007022
30.15625,0,0.028659435,0.003735839
34.1989941,10.5513928,0.032880535,-9.21021E-05
35.5443882,16.7653398,0.037839449,-0.002007812
35.4022593,15.8460627,0.03717181,-0.001974839
34.1875,10,0.032809578,-5.89168E-05
32.7120608,5.13885953,0.034423064,0.000830642
33.455954,7.16688453,0.034276499,0.000684574
34.1990232,9.44878553,0.032919282,8.51524E-05
35.9050783,17.6210198,0.037991817,-0.002787056
35.5691757,14.8382803,0.036304548,-0.001689547
31.9080898,2.68933983,0.035033181,0.001756156
34.235875,8.85009809,0.033292041,0.000358347
32.8298879,4.3551068,0.034962853,0.000677759
34.2990173,8.22958286,0.033872195,0.000509234
35.3381663,11.9673979,0.034411254,-0.001134779
36.4927956,18.4405424,0.03871101,-0.003463606
35.1528083,10.9429993,0.032895411,-0.002572212
35.6584821,12.9413547,0.034487327,-0.000756343
32.0493554,1.74645265,0.035301535,0.001487359
36.4221331,16.8477591,0.038441316,-0.003113538
33.6847044,5.7566301,0.034967736,0.001090661
36.1523101,15.0222307,0.037000094,-0.002097316
35.09375,10,0.033044865,-0.001038544
34.3909059,7.59969867,0.033917009,0.000241378
